Area_name,Delim,POP010210D
"Rooks, KS",#,5181
"Rush, KS",#,3307
"Russell, KS",#,6970
"Saline, KS",#,55606
"Scott, KS",#,4936
"Sedgwick, KS",#,498365
"Seward, KS",#,22952
"Shawnee, KS",#,177934
"Sheridan, KS",#,2556
"Sherman, KS",#,6010
"Smith, KS",#,3853
"Stafford, KS",#,4437
"Stanton, KS",#,2235
"Stevens, KS",#,5724
"Sumner, KS",#,24132
"Thomas, KS",#,7900
"Trego, KS",#,3001
"Wabaunsee, KS",#,7053
"Wallace, KS",#,1485
"Washington, KS",#,5799
"Wichita, KS",#,2234
"Wilson, KS",#,9409
"Woodson, KS",#,3309
"Wyandotte, KS",#,157505
KENTUCKY,#,4339367
"Adair, KY",#,18656
"Allen, KY",#,19956
"Anderson, KY",#,21421
"Ballard, KY",#,8249
"Barren, KY",#,42173
"Bath, KY",#,11591
"Bell, KY",#,28691
"Boone, KY",#,118811
"Bourbon, KY",#,19985
"Boyd, KY",#,49542
"Boyle, KY",#,28432
"Bracken, KY",#,8488
"Breathitt, KY",#,13878
"Breckinridge, KY",#,20059
"Bullitt, KY",#,74319
"Butler, KY",#,12690
"Caldwell, KY",#,12984
"Calloway, KY",#,37191
"Campbell, KY",#,90336
"Carlisle, KY",#,5104
"Carroll, KY",#,10811
"Carter, KY",#,27720
"Casey, KY",#,15955
"Christian, KY",#,73955
"Clark, KY",#,35613
"Clay, KY",#,21730
"Clinton, KY",#,10272
"Crittenden, KY",#,9315
"Cumberland, KY",#,6856
"Daviess, KY",#,96656
"Edmonson, KY",#,12161
"Elliott, KY",#,7852
"Estill, KY",#,14672
"Fayette, KY",#,295803
"Fleming, KY",#,14348
"Floyd, KY",#,39451
"Franklin, KY",#,49285
"Fulton, KY",#,6813
"Gallatin, KY",#,8589
"Garrard, KY",#,16912
"Grant, KY",#,24662
"Graves, KY",#,37121
"Grayson, KY",#,25746
"Green, KY",#,11258
"Greenup, KY",#,36910
"Hancock, KY",#,8565
"Hardin, KY",#,105543
"Harlan, KY",#,29278
"Harrison, KY",#,18846
"Hart, KY",#,18199
"Henderson, KY",#,46250
"Henry, KY",#,15416
"Hickman, KY",#,4902
"Hopkins, KY",#,46920
"Jackson, KY",#,13494
"Jefferson, KY",#,741096
"Jessamine, KY",#,48586
"Johnson, KY",#,23356
"Kenton, KY",#,159720
"Knott, KY",#,16346
"Knox, KY",#,31883
"Larue, KY",#,14193
"Laurel, KY",#,58849
"Lawrence, KY",#,15860
"Lee, KY",#,7887
"Leslie, KY",#,11310
"Letcher, KY",#,24519
"Lewis, KY",#,13870
"Lincoln, KY",#,24742
"Livingston, KY",#,9519
"Logan, KY",#,26835
"Lyon, KY",#,8314
"McCracken, KY",#,65565
"McCreary, KY",#,18306
"McLean, KY",#,9531
"Madison, KY",#,82916
"Magoffin, KY",#,13333
"Marion, KY",#,19820
"Marshall, KY",#,31448
"Martin, KY",#,12929
"Mason, KY",#,17490
"Meade, KY",#,28602
"Menifee, KY",#,6306
"Mercer, KY",#,21331
"Metcalfe, KY",#,10099
"Monroe, KY",#,10963
"Montgomery, KY",#,26499
"Morgan, KY",#,13923
"Muhlenberg, KY",#,31499
"Nelson, KY",#,43437
"Nicholas, KY",#,7135
"Ohio, KY",#,23842
"Oldham, KY",#,60316
"Owen, KY",#,10841
"Owsley, KY",#,4755
"Pendleton, KY",#,14877
"Perry, KY",#,28712
"Pike, KY",#,65024
"Powell, KY",#,12613
"Pulaski, KY",#,63063
"Robertson, KY",#,2282
"Rockcastle, KY",#,17056
"Rowan, KY",#,23333
"Russell, KY",#,17565
"Scott, KY",#,47173
"Shelby, KY",#,42074
"Simpson, KY",#,17327
"Spencer, KY",#,17061
"Taylor, KY",#,24512
"Todd, KY",#,12460
"Trigg, KY",#,14339
"Trimble, KY",#,8809
"Union, KY",#,15007
"Warren, KY",#,113792
"Washington, KY",#,11717
"Wayne, KY",#,20813
"Webster, KY",#,13621
"Whitley, KY",#,35637
"Wolfe, KY",#,7355
"Woodford, KY",#,24939
LOUISIANA,#,4533372
"Acadia, LA",#,61773
"Allen, LA",#,25764
"Ascension, LA",#,107215
"Assumption, LA",#,23421
"Avoyelles, LA",#,42073
"Beauregard, LA",#,35654
"Bienville, LA",#,14353
"Bossier, LA",#,116979
"Caddo, LA",#,254969
"Calcasieu, LA",#,192768
"Caldwell, LA",#,10132
"Cameron, LA",#,6839
"Catahoula, LA",#,10407
"Claiborne, LA",#,17195
"Concordia, LA",#,20822
"De Soto, LA",#,26656
"East Baton Rouge, LA",#,440171
"East Carroll, LA",#,7759
"East Feliciana, LA",#,20267
"Evangeline, LA",#,33984
"Franklin, LA",#,20767
"Grant, LA",#,22309
"Iberia, LA",#,73240
"Iberville, LA",#,33387
"Jackson, LA",#,16274
"Jefferson, LA",#,432552
"Jefferson Davis, LA",#,31594
"Lafayette, LA",#,221578
"Lafourche, LA",#,96318
"La Salle, LA",#,14890
"Lincoln, LA",#,46735
"Livingston, LA",#,128026
"Madison, LA",#,12093
"Morehouse, LA",#,27979
"Natchitoches, LA",#,39566
"Orleans, LA",#,343829
"Ouachita, LA",#,153720
"Plaquemines, LA",#,23042
"Pointe Coupee, LA",#,22802
"Rapides, LA",#,131613
"Red River, LA",#,9091
"Richland, LA",#,20725
"Sabine, LA",#,24233
"St. Bernard, LA",#,35897
"St. Charles, LA",#,52780
"St. Helena, LA",#,11203
"St. James, LA",#,22102
"St. John the Baptist, LA",#,45924
"St. Landry, LA",#,83384
"St. Martin, LA",#,52160
"St. Mary, LA",#,54650
"St. Tammany, LA",#,233740
"Tangipahoa, LA",#,121097
"Tensas, LA",#,5252
"Terrebonne, LA",#,111860
"Union, LA",#,22721
"Vermilion, LA",#,57999
"Vernon, LA",#,52334
"Washington, LA",#,47168
"Webster, LA",#,41207
"West Baton Rouge, LA",#,23788
"West Carroll, LA",#,11604
"West Feliciana, LA",#,15625
"Winn, LA",#,15313
MAINE,#,1328361
"Androscoggin, ME",#,107702
"Aroostook, ME",#,71870
"Cumberland, ME",#,281674
"Franklin, ME",#,30768
"Hancock, ME",#,54418
"Kennebec, ME",#,122151
"Knox, ME",#,39736
"Lincoln, ME",#,34457
"Oxford, ME",#,57833
"Penobscot, ME",#,153923
"Piscataquis, ME",#,17535
"Sagadahoc, ME",#,35293
"Somerset, ME",#,52228
"Waldo, ME",#,38786
"Washington, ME",#,32856
"York, ME",#,197131
MARYLAND,#,5773552
"Allegany, MD",#,75087
"Anne Arundel, MD",#,537656
"Baltimore, MD",#,805029
"Calvert, MD",#,88737
"Caroline, MD",#,33066
"Carroll, MD",#,167134
"Cecil, MD",#,101108
"Charles, MD",#,146551
"Dorchester, MD",#,32618
"Frederick, MD",#,233385
"Garrett, MD",#,30097
"Harford, MD",#,244826
"Howard, MD",#,287085
"Kent, MD",#,20197
"Montgomery, MD",#,971777
"Prince George's, MD",#,863420
"Queen Anne's, MD",#,47798
"St. Mary's, MD",#,105151
"Somerset, MD",#,26470
"Talbot, MD",#,37782
"Washington, MD",#,147430
"Wicomico, MD",#,98733
"Worcester, MD",#,51454
"Baltimore city, MD",#,620961
MASSACHUSETTS,#,6547629
"Barnstable, MA",#,215888
"Berkshire, MA",#,131219
"Bristol, MA",#,548285
"Dukes, MA",#,16535
"Essex, MA",#,743159
"Franklin, MA",#,71372
"Hampden, MA",#,463490
"Hampshire, MA",#,158080
"Middlesex, MA",#,1503085
"Nantucket, MA",#,10172
"Norfolk, MA",#,670850
"Plymouth, MA",#,494919
"Suffolk, MA",#,722023
"Worcester, MA",#,798552
MICHIGAN,#,9883640
"Alcona, MI",#,10942
"Alger, MI",#,9601
"Allegan, MI",#,111408
"Alpena, MI",#,29598
"Antrim, MI",#,23580
"Arenac, MI",#,15899
"Baraga, MI",#,8860
"Barry, MI",#,59173
"Bay, MI",#,107771
"Benzie, MI",#,17525
"Berrien, MI",#,156813
"Branch, MI",#,45248
"Calhoun, MI",#,136146
"Cass, MI",#,52293
"Charlevoix, MI",#,25949
"Cheboygan, MI",#,26152
"Chippewa, MI",#,38520
"Clare, MI",#,30926
"Clinton, MI",#,75382
"Crawford, MI",#,14074
"Delta, MI",#,37069
"Dickinson, MI",#,26168
"Eaton, MI",#,107759
"Emmet, MI",#,32694
"Genesee, MI",#,425790
"Gladwin, MI",#,25692
"Gogebic, MI",#,16427
"Grand Traverse, MI",#,86986
"Gratiot, MI",#,42476
"Hillsdale, MI",#,46688
"Houghton, MI",#,36628
"Huron, MI",#,33118
"Ingham, MI",#,280895
"Ionia, MI",#,63905
"Iosco, MI",#,25887
"Iron, MI",#,11817
"Isabella, MI",#,70311
"Jackson, MI",#,160248
"Kalamazoo, MI",#,250331
"Kalkaska, MI",#,17153
"Kent, MI",#,602622
"Keweenaw, MI",#,2156
"Lake, MI",#,11539
"Lapeer, MI",#,88319
"Leelanau, MI",#,21708
"Lenawee, MI",#,99892
"Livingston, MI",#,180967
"Luce, MI",#,6631
"Mackinac, MI",#,11113
"Macomb, MI",#,840978
"Manistee, MI",#,24733
"Marquette, MI",#,67077
"Mason, MI",#,28705
"Mecosta, MI",#,42798
"Menominee, MI",#,24029
"Midland, MI",#,83629
"Missaukee, MI",#,14849
"Monroe, MI",#,152021
"Montcalm, MI",#,63342
"Montmorency, MI",#,9765
"Muskegon, MI",#,172188
"Newaygo, MI",#,48460
"Oakland, MI",#,1202362
"Oceana, MI",#,26570
"Ogemaw, MI",#,21699
"Ontonagon, MI",#,6780
"Osceola, MI",#,23528
"Oscoda, MI",#,8640
"Otsego, MI",#,24164
"Ottawa, MI",#,263801
"Presque Isle, MI",#,13376
"Roscommon, MI",#,24449
"Saginaw, MI",#,200169
"St. Clair, MI",#,163040
"St. Joseph, MI",#,61295
"Sanilac, MI",#,43114
"Schoolcraft, MI",#,8485
"Shiawassee, MI",#,70648
"Tuscola, MI",#,55729
"Van Buren, MI",#,76258
"Washtenaw, MI",#,344791
"Wayne, MI",#,1820584
"Wexford, MI",#,32735
MINNESOTA,#,5303925
"Aitkin, MN",#,16202
"Anoka, MN",#,330844
"Becker, MN",#,32504
"Beltrami, MN",#,44442
"Benton, MN",#,38451
"Big Stone, MN",#,5269
"Blue Earth, MN",#,64013
"Brown, MN",#,25893
"Carlton, MN",#,35386
"Carver, MN",#,91042
"Cass, MN",#,28567
"Chippewa, MN",#,12441
"Chisago, MN",#,53887
"Clay, MN",#,58999
"Clearwater, MN",#,8695
"Cook, MN",#,5176
"Cottonwood, MN",#,11687
"Crow Wing, MN",#,62500
"Dakota, MN",#,398552
"Dodge, MN",#,20087
"Douglas, MN",#,36009
"Faribault, MN",#,14553
"Fillmore, MN",#,20866
"Freeborn, MN",#,31255
"Goodhue, MN",#,46183
"Grant, MN",#,6018
"Hennepin, MN",#,1152425
"Houston, MN",#,19027
"Hubbard, MN",#,20428
"Isanti, MN",#,37816
"Itasca, MN",#,45058
"Jackson, MN",#,10266
"Kanabec, MN",#,16239
"Kandiyohi, MN",#,42239
"Kittson, MN",#,4552
"Koochiching, MN",#,13311
"Lac qui Parle, MN",#,7259
"Lake, MN",#,10866
"Lake of the Woods, MN",#,4045
"Le Sueur, MN",#,27703
"Lincoln, MN",#,5896
"Lyon, MN",#,25857
"McLeod, MN",#,36651
"Mahnomen, MN",#,5413
"Marshall, MN",#,9439
"Martin, MN",#,20840
"Meeker, MN",#,23300
"Mille Lacs, MN",#,26097
"Morrison, MN",#,33198
"Mower, MN",#,39163
"Murray, MN",#,8725
"Nicollet, MN",#,32727
"Nobles, MN",#,21378
"Norman, MN",#,6852
"Olmsted, MN",#,144248
"Otter Tail, MN",#,57303
"Pennington, MN",#,13930
"Pine, MN",#,29750
"Pipestone, MN",#,9596
"Polk, MN",#,31600
"Pope, MN",#,10995
"Ramsey, MN",#,508640
"Red Lake, MN",#,4089
"Redwood, MN",#,16059
"Renville, MN",#,15730
"Rice, MN",#,64142
"Rock, MN",#,9687
"Roseau, MN",#,15629
"St. Louis, MN",#,200226
"Scott, MN",#,129928
"Sherburne, MN",#,88499
"Sibley, MN",#,15226
"Stearns, MN",#,150642
"Steele, MN",#,36576
"Stevens, MN",#,9726
"Swift, MN",#,9783
"Todd, MN",#,24895
"Traverse, MN",#,3558
"Wabasha, MN",#,21676
"Wadena, MN",#,13843
"Waseca, MN",#,19136
"Washington, MN",#,238136
"Watonwan, MN",#,11211
"Wilkin, MN",#,6576
"Winona, MN",#,51461
"Wright, MN",#,124700
"Yellow Medicine, MN",#,10438
MISSISSIPPI,#,2967297
"Adams, MS",#,32297
"Alcorn, MS",#,37057
"Amite, MS",#,13131
"Attala, MS",#,19564
"Benton, MS",#,8729
"Bolivar, MS",#,34145
"Calhoun, MS",#,14962
"Carroll, MS",#,10597
"Chickasaw, MS",#,17392
"Choctaw, MS",#,8547
"Claiborne, MS",#,9604
"Clarke, MS",#,16732
"Clay, MS",#,20634
"Coahoma, MS",#,26151
"Copiah, MS",#,29449
"Covington, MS",#,19568
"DeSoto, MS",#,161252
"Forrest, MS",#,74934
"Franklin, MS",#,8118
"George, MS",#,22578
"Greene, MS",#,14400
"Grenada, MS",#,21906
"Hancock, MS",#,43929
"Harrison, MS",#,187105
"Hinds, MS",#,245285
"Holmes, MS",#,19198
"Humphreys, MS",#,9375
"Issaquena, MS",#,1406
"Itawamba, MS",#,23401
"Jackson, MS",#,139668
"Jasper, MS",#,17062
"Jefferson, MS",#,7726
"Jefferson Davis, MS",#,12487
"Jones, MS",#,67761
"Kemper, MS",#,10456
"Lafayette, MS",#,47351
"Lamar, MS",#,55658
"Lauderdale, MS",#,80261
"Lawrence, MS",#,12929
"Leake, MS",#,23805
"Lee, MS",#,82910
"Leflore, MS",#,32317
"Lincoln, MS",#,34869
"Lowndes, MS",#,59779
"Madison, MS",#,95203
"Marion, MS",#,27088
"Marshall, MS",#,37144
"Monroe, MS",#,36989
"Montgomery, MS",#,10925
"Neshoba, MS",#,29676
"Newton, MS",#,21720
"Noxubee, MS",#,11545
"Oktibbeha, MS",#,47671
"Panola, MS",#,34707
"Pearl River, MS",#,55834
"Perry, MS",#,12250
"Pike, MS",#,40404
"Pontotoc, MS",#,29957
"Prentiss, MS",#,25276
"Quitman, MS",#,8223
"Rankin, MS",#,141617
"Scott, MS",#,28264
"Sharkey, MS",#,4916
"Simpson, MS",#,27503
"Smith, MS",#,16491
"Stone, MS",#,17786
"Sunflower, MS",#,29450
"Tallahatchie, MS",#,15378
"Tate, MS",#,28886
"Tippah, MS",#,22232
"Tishomingo, MS",#,19593
"Tunica, MS",#,10778
"Union, MS",#,27134
"Walthall, MS",#,15443
"Warren, MS",#,48773
"Washington, MS",#,51137
"Wayne, MS",#,20747
"Webster, MS",#,10253
"Wilkinson, MS",#,9878
"Winston, MS",#,19198
"Yalobusha, MS",#,12678
"Yazoo, MS",#,28065
MISSOURI,#,5988927
"Adair, MO",#,25607
"Andrew, MO",#,17291
"Atchison, MO",#,5685
"Audrain, MO",#,25529
"Barry, MO",#,35597
"Barton, MO",#,12402
"Bates, MO",#,17049
"Benton, MO",#,19056
"Bollinger, MO",#,12363
"Boone, MO",#,162642
"Buchanan, MO",#,89201
"Butler, MO",#,42794
"Caldwell, MO",#,9424
"Callaway, MO",#,44332
"Camden, MO",#,44002
"Cape Girardeau, MO",#,75674
"Carroll, MO",#,9295
"Carter, MO",#,6265
"Cass, MO",#,99478
"Cedar, MO",#,13982
"Chariton, MO",#,7831
"Christian, MO",#,77422
"Clark, MO",#,7139
"Clay, MO",#,221939
"Clinton, MO",#,20743
"Cole, MO",#,75990
"Cooper, MO",#,17601
"Crawford, MO",#,24696
"Dade, MO",#,7883
"Dallas, MO",#,16777
"Daviess, MO",#,8433
"DeKalb, MO",#,12892
"Dent, MO",#,15657
"Douglas, MO",#,13684
"Dunklin, MO",#,31953
"Franklin, MO",#,101492
"Gasconade, MO",#,15222
"Gentry, MO",#,6738
"Greene, MO",#,275174
"Grundy, MO",#,10261
"Harrison, MO",#,8957
"Henry, MO",#,22272
"Hickory, MO",#,9627
"Holt, MO",#,4912
"Howard, MO",#,10144
"Howell, MO",#,40400
"Iron, MO",#,10630
"Jackson, MO",#,674158
"Jasper, MO",#,117404
"Jefferson, MO",#,218733
"Johnson, MO",#,52595
"Knox, MO",#,4131
"Laclede, MO",#,35571
"Lafayette, MO",#,33381
"Lawrence, MO",#,38634
"Lewis, MO",#,10211
"Lincoln, MO",#,52566
"Linn, MO",#,12761
"Livingston, MO",#,15195
"McDonald, MO",#,23083
"Macon, MO",#,15566
"Madison, MO",#,12226
"Maries, MO",#,9176
"Marion, MO",#,28781
"Mercer, MO",#,3785
"Miller, MO",#,24748
"Mississippi, MO",#,14358
"Moniteau, MO",#,15607
"Monroe, MO",#,8840
"Montgomery, MO",#,12236
"Morgan, MO",#,20565
"New Madrid, MO",#,18956
"Newton, MO",#,58114
"Nodaway, MO",#,23370
"Oregon, MO",#,10881
"Osage, MO",#,13878
"Ozark, MO",#,9723
"Pemiscot, MO",#,18296
"Perry, MO",#,18971
"Pettis, MO",#,42201
"Phelps, MO",#,45156
"Pike, MO",#,18516
"Platte, MO",#,89322
"Polk, MO",#,31137
"Pulaski, MO",#,52274
"Putnam, MO",#,4979
"Ralls, MO",#,10167
"Randolph, MO",#,25414
"Ray, MO",#,23494
"Reynolds, MO",#,6696
"Ripley, MO",#,14100
"St. Charles, MO",#,360485
"St. Clair, MO",#,9805
"Ste. Genevieve, MO",#,18145
"St. Francois, MO",#,65359
"St. Louis, MO",#,998954
"Saline, MO",#,23370
"Schuyler, MO",#,4431
"Scotland, MO",#,4843
"Scott, MO",#,39191
"Shannon, MO",#,8441
"Shelby, MO",#,6373
"Stoddard, MO",#,29968
"Stone, MO",#,32202
"Sullivan, MO",#,6714
"Taney, MO",#,51675
"Texas, MO",#,26008
"Vernon, MO",#,21159
"Warren, MO",#,32513
"Washington, MO",#,25195
"Wayne, MO",#,13521
"Webster, MO",#,36202
"Worth, MO",#,2171
"Wright, MO",#,18815
"St. Louis city, MO",#,319294
MONTANA,#,989415
"Beaverhead, MT",#,9246
"Big Horn, MT",#,12865
"Blaine, MT",#,6491
"Broadwater, MT",#,5612
"Carbon, MT",#,10078
"Carter, MT",#,1160
"Cascade, MT",#,81327
"Chouteau, MT",#,5813
"Custer, MT",#,11699
"Daniels, MT",#,1751
"Dawson, MT",#,8966
"Deer Lodge, MT",#,9298
"Fallon, MT",#,2890
"Fergus, MT",#,11586
"Flathead, MT",#,90928
"Gallatin, MT",#,89513
"Garfield, MT",#,1206
"Glacier, MT",#,13399
"Golden Valley, MT",#,884
"Granite, MT",#,3079
"Hill, MT",#,16096
"Jefferson, MT",#,11406
"Judith Basin, MT",#,2072
"Lake, MT",#,28746
"Lewis and Clark, MT",#,63395
"Liberty, MT",#,2339
"Lincoln, MT",#,19687
"McCone, MT",#,1734
"Madison, MT",#,7691
"Meagher, MT",#,1891
"Mineral, MT",#,4223
"Missoula, MT",#,109299
"Musselshell, MT",#,4538
"Park, MT",#,15636
"Petroleum, MT",#,494
"Phillips, MT",#,4253
"Pondera, MT",#,6153
"Powder River, MT",#,1743
"Powell, MT",#,7027
"Prairie, MT",#,1179
"Ravalli, MT",#,40212
"Richland, MT",#,9746
"Roosevelt, MT",#,10425
"Rosebud, MT",#,9233
"Sanders, MT",#,11413
"Sheridan, MT",#,3384
"Silver Bow, MT",#,34200
"Stillwater, MT",#,9117
"Sweet Grass, MT",#,3651
"Teton, MT",#,6073
"Toole, MT",#,5324
"Treasure, MT",#,718
"Valley, MT",#,7369
"Wheatland, MT",#,2168
"Wibaux, MT",#,1017
"Yellowstone, MT",#,147972
"Yellowstone National Park, MT",#,0
NEBRASKA,#,1826341
"Adams, NE",#,31364
"Antelope, NE",#,6685
"Arthur, NE",#,460
"Banner, NE",#,690
"Blaine, NE",#,478
"Boone, NE",#,5505
"Box Butte, NE",#,11308
"Boyd, NE",#,2099
"Brown, NE",#,3145
"Buffalo, NE",#,46102
"Burt, NE",#,6858
"Butler, NE",#,8395
"Cass, NE",#,25241
"Cedar, NE",#,8852
"Chase, NE",#,3966
"Cherry, NE",#,5713
"Cheyenne, NE",#,9998
"Clay, NE",#,6542
"Colfax, NE",#,10515
"Cuming, NE",#,9139
"Custer, NE",#,10939
"Dakota, NE",#,21006
"Dawes, NE",#,9182
"Dawson, NE",#,24326
"Deuel, NE",#,1941
"Dixon, NE",#,6000
"Dodge, NE",#,36691
"Douglas, NE",#,517110
"Dundy, NE",#,2008
"Fillmore, NE",#,5890
"Franklin, NE",#,3225
"Frontier, NE",#,2756
"Furnas, NE",#,4959
"Gage, NE",#,22311
"Garden, NE",#,2057
"Garfield, NE",#,2049
"Gosper, NE",#,2044
"Grant, NE",#,614
"Greeley, NE",#,2538
"Hall, NE",#,58607
"Hamilton, NE",#,9124
"Harlan, NE",#,3423
"Hayes, NE",#,967
"Hitchcock, NE",#,2908
"Holt, NE",#,10435
"Hooker, NE",#,736
"Howard, NE",#,6274
"Jefferson, NE",#,7547
"Johnson, NE",#,5217
"Kearney, NE",#,6489
"Keith, NE",#,8368
"Keya Paha, NE",#,824
"Kimball, NE",#,3821
"Knox, NE",#,8701
"Lancaster, NE",#,285407
"Lincoln, NE",#,36288
"Logan, NE",#,763
"Loup, NE",#,632
"McPherson, NE",#,539
"Madison, NE",#,34876
"Merrick, NE",#,7845
"Morrill, NE",#,5042
"Nance, NE",#,3735
"Nemaha, NE",#,7248
"Nuckolls, NE",#,4500
"Otoe, NE",#,15740
"Pawnee, NE",#,2773
"Perkins, NE",#,2970
"Phelps, NE",#,9188
"Pierce, NE",#,7266
"Platte, NE",#,32237
"Polk, NE",#,5406
"Red Willow, NE",#,11055
"Richardson, NE",#,8363
"Rock, NE",#,1526
"Saline, NE",#,14200
"Sarpy, NE",#,158840
"Saunders, NE",#,20780
"Scotts Bluff, NE",#,36970
"Seward, NE",#,16750
"Sheridan, NE",#,5469
"Sherman, NE",#,3152
"Sioux, NE",#,1311
"Stanton, NE",#,6129
"Thayer, NE",#,5228
"Thomas, NE",#,647
"Thurston, NE",#,6940
"Valley, NE",#,4260
"Washington, NE",#,20234
"Wayne, NE",#,9595
"Webster, NE",#,3812
"Wheeler, NE",#,818
"York, NE",#,13665
NEVADA,#,2700551
"Churchill, NV",#,24877
"Clark, NV",#,1951269
"Douglas, NV",#,46997
"Elko, NV",#,48818
"Esmeralda, NV",#,783
"Eureka, NV",#,1987
"Humboldt, NV",#,16528
"Lander, NV",#,5775
"Lincoln, NV",#,5345
"Lyon, NV",#,51980
"Mineral, NV",#,4772
"Nye, NV",#,43946
"Pershing, NV",#,6753
"Storey, NV",#,4010
"Washoe, NV",#,421407
"White Pine, NV",#,10030
"Carson City city, NV",#,55274
NEW HAMPSHIRE,#,1316470
"Belknap, NH",#,60088
"Carroll, NH",#,47818
"Cheshire, NH",#,77117
"Coos, NH",#,33055
"Grafton, NH",#,89118
"Hillsborough, NH",#,400721
"Merrimack, NH",#,146445
"Rockingham, NH",#,295223
"Strafford, NH",#,123143
"Sullivan, NH",#,43742
NEW JERSEY,#,8791894
"Atlantic, NJ",#,274549
"Bergen, NJ",#,905116
"Burlington, NJ",#,448734
"Camden, NJ",#,513657
"Cape May, NJ",#,97265
"Cumberland, NJ",#,156898
"Essex, NJ",#,783969
"Gloucester, NJ",#,288288
"Hudson, NJ",#,634266
"Hunterdon, NJ",#,128349
"Mercer, NJ",#,366513
"Middlesex, NJ",#,809858
"Monmouth, NJ",#,630380
"Morris, NJ",#,492276
"Ocean, NJ",#,576567
"Passaic, NJ",#,501226
"Salem, NJ",#,66083
"Somerset, NJ",#,323444
"Sussex, NJ",#,149265
"Union, NJ",#,536499
"Warren, NJ",#,108692
NEW MEXICO,#,2059179
"Bernalillo, NM",#,662564
"Catron, NM",#,3725
"Chaves, NM",#,65645
"Cibola, NM",#,27213
"Colfax, NM",#,13750
"Curry, NM",#,48376
"De Baca, NM",#,2022
"Dona Ana, NM",#,209233
"Eddy, NM",#,53829
"Grant, NM",#,29514
"Guadalupe, NM",#,4687
"Harding, NM",#,695
"Hidalgo, NM",#,4894
"Lea, NM",#,64727
"Lincoln, NM",#,20497
"Los Alamos, NM",#,17950
"Luna, NM",#,25095
"McKinley, NM",#,71492
"Mora, NM",#,4881
"Otero, NM",#,63797
"Quay, NM",#,9041
"Rio Arriba, NM",#,40246
"Roosevelt, NM",#,19846
"Sandoval, NM",#,131561
"San Juan, NM",#,130044
"San Miguel, NM",#,29393
"Santa Fe, NM",#,144170
"Sierra, NM",#,11988
"Socorro, NM",#,17866
"Taos, NM",#,32937
"Torrance, NM",#,16383
"Union, NM",#,4549
"Valencia, NM",#,76569
NEW YORK,#,19378102
"Albany, NY",#,304204
"Allegany, NY",#,48946
"Bronx, NY",#,1385108
"Broome, NY",#,200600
"Cattaraugus, NY",#,80317
"Cayuga, NY",#,80026
"Chautauqua, NY",#,134905
"Chemung, NY",#,88830
"Chenango, NY",#,50477
"Clinton, NY",#,82128
"Columbia, NY",#,63096
"Cortland, NY",#,49336
"Delaware, NY",#,47980
"Dutchess, NY",#,297488
"Erie, NY",#,919040
"Essex, NY",#,39370
"Franklin, NY",#,51599
"Fulton, NY",#,55531
"Genesee, NY",#,60079
"Greene, NY",#,49221
"Hamilton, NY",#,4836
"Herkimer, NY",#,64519
"Jefferson, NY",#,116229
"Kings, NY",#,2504700
"Lewis, NY",#,27087
"Livingston, NY",#,65393
"Madison, NY",#,73442
"Monroe, NY",#,744344
"Montgomery, NY",#,50219
"Nassau, NY",#,1339532
"New York, NY",#,1585873
"Niagara, NY",#,216469
"Oneida, NY",#,234878
"Onondaga, NY",#,467026
"Ontario, NY",#,107931
"Orange, NY",#,372813
"Orleans, NY",#,42883
"Oswego, NY",#,122109
"Otsego, NY",#,62259
"Putnam, NY",#,99710
"Queens, NY",#,2230722
"Rensselaer, NY",#,159429
"Richmond, NY",#,468730
"Rockland, NY",#,311687
"St. Lawrence, NY",#,111944
"Saratoga, NY",#,219607
"Schenectady, NY",#,154727
"Schoharie, NY",#,32749
"Schuyler, NY",#,18343
"Seneca, NY",#,35251
"Steuben, NY",#,98990
"Suffolk, NY",#,1493350
"Sullivan, NY",#,77547
"Tioga, NY",#,51125
"Tompkins, NY",#,101564
"Ulster, NY",#,182493
"Warren, NY",#,65707
"Washington, NY",#,63216
"Wayne, NY",#,93772
"Westchester, NY",#,949113
"Wyoming, NY",#,42155
"Yates, NY",#,25348
NORTH CAROLINA,#,9535483
"Alamance, NC",#,151131
"Alexander, NC",#,37198
"Alleghany, NC",#,11155
"Anson, NC",#,26948
"Ashe, NC",#,27281
"Avery, NC",#,17797
"Beaufort, NC",#,47759
"Bertie, NC",#,21282
"Bladen, NC",#,35190
"Brunswick, NC",#,107431
"Buncombe, NC",#,238318
"Burke, NC",#,90912
"Cabarrus, NC",#,178011
"Caldwell, NC",#,83029
"Camden, NC",#,9980
"Carteret, NC",#,66469
"Caswell, NC",#,23719
"Catawba, NC",#,154358
"Chatham, NC",#,63505
"Cherokee, NC",#,27444
"Chowan, NC",#,14793
"Clay, NC",#,10587
"Cleveland, NC",#,98078
"Columbus, NC",#,58098
"Craven, NC",#,103505
"Cumberland, NC",#,319431
"Currituck, NC",#,23547
"Dare, NC",#,33920
"Davidson, NC",#,162878
"Davie, NC",#,41240
"Duplin, NC",#,58505
"Durham, NC",#,267587
"Edgecombe, NC",#,56552
"Forsyth, NC",#,350670
"Franklin, NC",#,60619
"Gaston, NC",#,206086
"Gates, NC",#,12197
"Graham, NC",#,8861
"Granville, NC",#,59916
"Greene, NC",#,21362
"Guilford, NC",#,488406
"Halifax, NC",#,54691
"Harnett, NC",#,114678
"Haywood, NC",#,59036
"Henderson, NC",#,106740
