Area_name,Delim,POP010210D
"Orange, CA",#,3010232
"Placer, CA",#,348432
"Plumas, CA",#,20007
"Riverside, CA",#,2189641
"Sacramento, CA",#,1418788
"San Benito, CA",#,55269
"San Bernardino, CA",#,2035210
"San Diego, CA",#,3095313
"San Francisco, CA",#,805235
"San Joaquin, CA",#,685306
"San Luis Obispo, CA",#,269637
"San Mateo, CA",#,718451
"Santa Barbara, CA",#,423895
"Santa Clara, CA",#,1781642
"Santa Cruz, CA",#,262382
"Shasta, CA",#,177223
"Sierra, CA",#,3240
"Siskiyou, CA",#,44900
"Solano, CA",#,413344
"Sonoma, CA",#,483878
"Stanislaus, CA",#,514453
"Sutter, CA",#,94737
"Tehama, CA",#,63463
"Trinity, CA",#,13786
"Tulare, CA",#,442179
"Tuolumne, CA",#,55365
"Ventura, CA",#,823318
"Yolo, CA",#,200849
"Yuba, CA",#,72155
COLORADO,#,5029196
"Adams, CO",#,441603
"Alamosa, CO",#,15445
"Arapahoe, CO",#,572003
"Archuleta, CO",#,12084
"Baca, CO",#,3788
"Bent, CO",#,6499
"Boulder, CO",#,294567
"Broomfield, CO",#,55889
"Chaffee, CO",#,17809
"Cheyenne, CO",#,1836
"Clear Creek, CO",#,9088
"Conejos, CO",#,8256
"Costilla, CO",#,3524
"Crowley, CO",#,5823
"Custer, CO",#,4255
"Delta, CO",#,30952
"Denver, CO",#,600158
"Dolores, CO",#,2064
"Douglas, CO",#,285465
"Eagle, CO",#,52197
"Elbert, CO",#,23086
"El Paso, CO",#,622263
"Fremont, CO",#,46824
"Garfield, CO",#,56389
"Gilpin, CO",#,5441
"Grand, CO",#,14843
"Gunnison, CO",#,15324
"Hinsdale, CO",#,843
"Huerfano, CO",#,6711
"Jackson, CO",#,1394
"Jefferson, CO",#,534543
"Kiowa, CO",#,1398
"Kit Carson, CO",#,8270
"Lake, CO",#,7310
"La Plata, CO",#,51334
"Larimer, CO",#,299630
"Las Animas, CO",#,15507
"Lincoln, CO",#,5467
"Logan, CO",#,22709
"Mesa, CO",#,146723
"Mineral, CO",#,712
"Moffat, CO",#,13795
"Montezuma, CO",#,25535
"Montrose, CO",#,41276
"Morgan, CO",#,28159
"Otero, CO",#,18831
"Ouray, CO",#,4436
"Park, CO",#,16206
"Phillips, CO",#,4442
"Pitkin, CO",#,17148
"Prowers, CO",#,12551
"Pueblo, CO",#,159063
"Rio Blanco, CO",#,6666
"Rio Grande, CO",#,11982
"Routt, CO",#,23509
"Saguache, CO",#,6108
"San Juan, CO",#,699
"San Miguel, CO",#,7359
"Sedgwick, CO",#,2379
